#,Name,Red,Green,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,Fire Red,Leaf Green,Emerald,Diamond,Pearl,Platinium,Heart Gold,Soul Silver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee,Sword,Shield,Brillant Diamond,Shining Pearl,Pokémon Legends Arceus
125,Electabuzz,C,T,T,T,C,C,C,Ev,Ev,C,Ev,Ev,DE,DE,C,C,C,DWE,E,DWE,E,FS,FS,E,E,C,C,C,C,C,C,CD,CD,E,T,C
126,Magmar,T,C,T,T,C,C,C,Ev,Ev,Ev,C,Ev,DE,DE,C,C,C,DWE,E,E,DWE,FS,FS,E,E,C,C,C,C,C,C,CD,CD,T,E,C
127,Pinsir,T,C,C,C,C,C,C,C,C,T,C,C,T,C,S,C,C,C,C,C,C,C,FS,C,C,C,C,C,C,T,C,CD,T,T,C,—
128,Tauros,C,C,R,C,C,C,C,Ev,Ev,C,C,Ev,C,C,C,C,C,DW,DW,DW,DW,C,C,T,T,C,C,C,C,C,C,CD,CD,C,C,—
129,Magikarp,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,R,R,R,R,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
130,Gyarados,E,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,E,E,E,E,C,C,C,C,C,C,E,E,C,C,C,C,C,C,C
131,Lapras,R,R,R,R,C,C,C,T,T,C,C,T,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,C,C,C,C,C,—
132,Ditto,C,C,C,C,C,C,C,T,T,C,C,C,C,C,S,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,—
133,Eevee,R,R,R,R,R,R,R,T,T,R,R,T,C,C,C,R,R,DW,DW,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
134,Vaporeon,E,E,E,E,E,E,E,T,T,E,E,T,E,E,E,E,E,DWE,DWE,E,E,E,E,E,E,E,E,E,E,E,E,C,C,E,E,C
135,Jolteon,E,E,E,E,E,E,E,T,T,E,E,T,E,E,E,E,E,DWE,DWE,E,E,E,E,E,E,E,E,E,E,E,E,C,C,E,E,C
136,Flareon,E,E,E,E,E,E,E,T,T,E,E,T,E,E,E,E,E,DWE,DWE,E,E,E,E,E,E,E,E,E,E,E,E,C,C,E,E,C
137,Porygon,R,R,R,R,R,R,R,T,T,R,R,T,S,S,R,R,R,Ev,C,DR,DR,T,T,C,C,R,R,R,R,C,C,RD,RD,S,S,C
138,Omanyte,R,R,R,R,Ev,Ev,Ev,T,T,R,R,T,R,R,R,R,T,R,R,R,R,T,R,T,R,T,T,R,R,R,R,CD,T,R,R,—
139,Omastar,E,E,E,E,EvE,EvE,EvE,T,T,E,E,T,E,E,E,E,T,E,E,E,E,T,E,T,E,T,T,E,E,E,E,CD,T,E,E,—
140,Kabuto,R,R,R,R,Ev,Ev,Ev,T,T,R,R,T,R,R,R,T,R,R,R,R,R,T,R,R,T,T,T,R,R,R,R,T,CD,R,R,—
141,Kabutops,E,E,E,E,EvE,EvE,EvE,T,T,E,E,T,E,E,E,T,E,E,E,E,E,T,E,E,T,T,T,E,E,E,E,T,CD,E,E,—
142,Aerodactyl,R,R,R,R,R,R,R,T,T,R,R,T,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,CD,CD,R,R,—
143,Snorlax,C,C,C,C,C,C,C,T,T,C,C,T,E,E,E,C,C,E,E,R,R,C,C,T,T,C,C,C,C,C,C,C,C,E,E,C
144,Articuno,C,C,C,C,Ev,Ev,Ev,Ev,Ev,C,C,Ev,T,T,C,C,C,T,T,T,T,C,C,Ev,Ev,T,T,C,C,C,C,DA,DA,T,C,—
144,"Articuno
(Galarian)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,CD,CD,—,—,—
145,Zapdos,C,C,C,C,Ev,Ev,Ev,Ev,Ev,C,C,Ev,T,T,C,C,C,T,T,T,T,C,C,Ev,Ev,T,T,C,C,C,C,DA,DA,T,C,—
145,"Zapdos
(Galarian)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,CD,CD,—,—,—
146,Moltres,C,C,C,C,Ev,Ev,Ev,Ev,Ev,C,C,Ev,T,T,C,C,C,T,T,T,T,C,C,Ev,Ev,T,T,C,C,C,C,DA,DA,T,C,—
146,"Moltres
(Galarian)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,CD,CD,—,—,—
147,Dratini,C,C,C,C,C,C,C,EvB,EvB,C,C,EvB,C,C,C,C,C,C,C,C,C,C,C,EvB,EvB,C,C,C,C,C,C,CD,CD,C,C,—
148,Dragonair,E,E,R,C,C,C,C,EvB,EvB,C,C,EvB,C,C,C,C,C,C,C,C,C,C,C,EvB,EvB,C,C,C,C,C,C,CD,CD,E,E,—
149,Dragonite,E,E,E,E,E,E,E,Ev,Ev,E,E,Ev,E,E,E,E,E,C,C,C,C,E,E,Ev,Ev,C,C,C,C,C,C,CD,CD,E,E,—
150,Mewtwo,C,C,C,C,Ev,Ev,Ev,T,T,C,C,T,T,T,T,C,C,Ev,Ev,Ev,Ev,C,C,Ev,Ev,T,T,C,C,C,C,DA,DA,C,C,—
151,Mew,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,EV,Ev,Ev,Ev,Ev,Ev,T,T,T,T,Ev,Ev,Ev,Ev,Ev,Ev,T,T,Ev,Ev,Ev,Ev,CCR,CCR,—
152,Chikorita,,,,,R,R,R,Ev,Ev,Ev,Ev,CCR,T,T,T,R,R,T,T,T,T,Ev,Ev,R,R,S,S,T,T,,,—,—,C,C,—
153,Bayleef,,,,,E,E,E,EvE,EvE,EvE,EvE,CCE,T,T,T,E,E,T,T,T,T,EvE,EvE,E,E,E,E,T,T,,,—,—,E,E,—
154,Meganium,,,,,E,E,E,EvE,EvE,EvE,EvE,CCE,T,T,T,E,E,T,T,T,T,Ev,Ev,E,E,E,E,T,T,,,—,—,E,E,—
155,Cyndaquil,,,,,R,R,R,Ev,Ev,Ev,Ev,CCR,T,T,T,R,R,T,T,T,T,Ev,Ev,R,R,S,S,T,T,,,—,—,C,C,C
156,Quilava,,,,,E,E,E,EvE,EvE,EvE,EvE,CCE,T,T,T,E,E,T,T,T,T,EvE,EvE,E,E,E,E,T,T,,,—,—,E,E,C
157,Typhlosion,,,,,E,E,E,Ev,Ev,Ev,Ev,CCE,T,T,T,E,E,T,T,T,T,Ev,Ev,E,E,E,E,T,T,,,—,—,E,E,—
157,Typhlosion (Hisuian),,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,,—,—,—,—,C
158,Totodile,,,,,R,R,R,Ev,Ev,Ev,Ev,CCR,T,T,T,R,R,T,T,T,T,Ev,Ev,R,R,S,S,T,T,,,—,—,C,C,—
159,Croconaw,,,,,E,E,E,EvE,EvE,EvE,EvE,CCE,T,T,T,E,E,T,T,T,T,EvE,EvE,E,E,E,E,T,T,,,—,—,E,E,—
160,Feraligatr,,,,,E,E,E,EvE,EvE,EvE,EvE,CCE,T,T,T,E,E,T,T,T,T,Ev,Ev,E,E,E,E,T,T,,,—,—,E,E,—
161,Sentret,,,,,C,C,C,T,T,C,C,T,C,C,C,C,C,S,S,B,B,C,C,T,T,T,T,T,T,,,—,—,C,C,—
162,Furret,,,,,C,C,C,T,T,E,E,T,E,E,E,C,C,E,E,S,S,E,E,T,T,T,T,T,T,,,—,—,C,C,—
163,Hoothoot,,,,,C,C,C,Ev,Ev,Ev,Ev,C,C,C,C,C,C,B,B,CCB,CCB,B,B,T,T,T,T,C,C,,,C,C,C,C,—
164,Noctowl,,,,,C,C,C,EvE,EvE,EvE,EvE,E,C,C,C,C,C,C,C,CC,CC,C,C,T,T,T,T,C,C,,,C,C,C,C,—
165,Ledyba,,,,,Ev,C,C,T,T,C,C,C,B,B,B,T,C,B,B,DW,B,C,C,T,T,C,C,C,C,,,—,—,B,B,—
166,Ledian,,,,,EvE,C,C,T,T,E,E,E,C,C,C,T,C,C,C,DWE,S,E,E,T,T,C,C,C,C,,,—,—,C,C,—
167,Spinarak,,,,,C,Ev,C,T,T,C,C,C,B,B,B,C,T,B,B,B,DW,B,B,B,B,C,C,C,C,,,—,—,B,B,—
168,Ariados,,,,,C,EvE,C,T,T,E,E,E,C,C,C,C,T,C,C,S,DWE,C,C,C,C,C,C,C,C,,,—,—,C,C,—
169,Crobat,,,,,E,E,E,E,E,E,E,E,E,E,E,E,E,C,C,C,C,E,E,E,E,C,C,C,C,,,DD,DD,E,E,C
170,Chinchou,,,,,C,C,C,C,C,T,T,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,C,C,C,C,—
171,Lanturn,,,,,C,C,C,E,E,T,T,E,C,C,E,C,C,C,C,C,C,C,C,C,C,E,E,C,C,,,C,C,C,C,—
172,Pichu,,,,,B,B,R,B,B,B,B,B,C,C,C,B,B,EvB,EvB,EvB,EvB,B,B,B,B,C,C,C,C,,,D,D,C,C,C
173,Cleffa,,,,,B,B,R,T,T,B,B,T,C,C,C,B,B,B,B,B,B,FSB,FSB,B,B,C,C,C,C,,,D,D,C,C,C
174,Igglybuff,,,,,B,B,R,B,B,B,B,B,S,S,S,B,B,B,B,B,B,B,B,B,B,C,C,C,C,,,DD,DD,S,S,—
175,Togepi,,,,,R,R,R,T,T,R,R,T,C,C,C,R,R,DW,C,R,R,FS,FS,R,R,B,B,T,T,,,C,C,C,C,C
176,Togetic,,,,,E,E,E,T,T,E,E,T,E,E,E,E,E,DWE,E,E,E,FSE,FSE,E,E,B,B,T,T,,,C,C,E,E,C
177,Natu,,,,,C,C,C,C,C,C,C,C,S,S,S,C,C,DW,DW,S,S,FSB,FSB,B,B,T,T,C,C,,,C,C,C,C,—
178,Xatu,,,,,E,E,R,C,C,E,E,C,E,E,E,R,R,DWE,DWE,E,E,FS,FS,C,C,T,T,C,C,,,C,C,E,E,—
179,Mareep,,,,,C,C,T,Ev,Ev,Ev,Ev,C,C,C,C,C,C,DW,C,C,C,C,C,Ev,Ev,T,T,C,C,,,—,—,C,C,—
180,Flaaffy,,,,,C,C,T,EvE,EvE,EvE,EvE,E,C,C,C,C,C,DW,E,E,E,E,E,EvE,EvE,T,T,C,C,,,—,—,C,C,—
181,Ampharos,,,,,E,E,T,EvE,EvE,EvE,EvE,E,E,E,E,E,E,DWE,E,E,E,E,E,EvE,EvE,T,T,E,E,,,—,—,E,E,—
182,Bellossom,,,,,E,E,E,E,E,E,EvE,E,E,E,E,E,E,DWE,E,DWE,DWE,E,E,E,E,T,T,T,T,,,C,C,E,E,—
183,Marill,,,,,C,C,C,C,C,T,C,C,C,C,C,C,C,DW,E,C,C,C,C,C,C,S,S,T,T,,,CD,CD,C,C,—
184,Azumarill,,,,,E,E,E,E,E,T,E,E,E,E,C,E,E,DWE,E,C,C,C,C,C,C,E,E,T,T,,,CD,CD,E,E,—
185,Sudowoodo,,,,,C,C,C,T,T,T,T,C,E,C,C,C,C,DW,DW,S,DW,C,C,T,T,C,C,C,C,,,C,C,E,C,C
186,Politoed,,,,,ET,ET,ET,T,T,ET,ET,T,ET,ET,ET,ET,ET,C,C,C,C,C,C,T,T,C,C,C,C,,,CD,CD,ET,ET,—
187,Hoppip,,,,,C,C,C,T,T,C,C,T,C,C,C,C,C,DW,C,S,S,C,C,T,T,T,T,T,T,,,—,—,C,C,—
188,Skiploom,,,,,C,C,C,T,T,E,E,T,C,C,E,C,C,DWE,E,E,E,E,E,T,T,T,T,T,T,,,—,—,C,C,—
189,Jumpluff,,,,,E,E,E,T,T,E,E,T,E,E,E,C,C,DWE,E,E,E,E,E,T,T,T,T,T,T,,,—,—,E,E,—
190,Aipom,,,,,C,C,C,Ev,Ev,Ev,Ev,C,C,C,C,C,C,DW,DW,B,B,FS,FS,C,C,T,T,C,C,,,—,—,C,C,C
191,Sunkern,,,,,C,C,C,Ev,Ev,Ev,Ev,C,C,C,C,C,C,C,C,C,C,FS,FS,C,C,T,T,T,T,,,—,—,C,C,—
192,Sunflora,,,,,E,E,E,EvE,EvE,EvE,EvE,E,E,E,E,E,E,C,C,E,E,FSE,FSE,E,E,T,T,T,T,,,—,—,E,E,—
193,Yanma,,,,,C,C,C,T,T,C,C,T,S,S,C,C,C,S,S,C,C,C,C,T,T,T,T,B,B,,,—,—,S,S,C
194,Wooper,,,,,C,C,C,T,T,C,T,C,C,C,C,C,C,DW,C,B,B,B,B,T,T,T,T,B,B,,,C,C,C,C,—
195,Quagsire,,,,,C,C,C,T,T,E,T,C,C,C,C,C,C,DWE,E,S,S,C,C,T,T,T,T,C,C,,,C,C,C,C,—
196,Espeon,,,,,E,E,E,Ev,Ev,Ev,Ev,Ev,E,E,E,E,E,DWE,DWE,E,E,E,E,E,E,C,C,C,C,,,C,C,E,E,C
197,Umbreon,,,,,E,E,E,Ev,Ev,Ev,Ev,Ev,E,E,E,E,E,DWE,DWE,E,E,E,E,E,E,C,C,C,C,,,C,C,E,E,C
198,Murkrow,,,,,C,C,C,Ev,Ev,C,Ev,Ev,C,T,T,C,C,C,DW,C,C,C,C,C,C,C,C,C,C,,,—,—,C,T,C
199,Slowking,,,,,ET,ET,ET,EvE,EvE,EvE,ET,EvE,T,ET,ET,ET,ET,C,C,ET,ET,ET,ET,ET,ET,ET,ET,C,C,,,DA,DA,T,ET,—
199,"Slowking
(Galarian)",,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,,ED,ED,—,—,—
200,Misdreavus,,,,,C,C,C,Ev,Ev,Ev,C,Ev,T,C,T,C,C,DW,C,DW,DW,T,T,C,C,C,C,C,C,,,—,—,T,C,C
201,Unown,,,,,C,C,C,T,T,C,C,T,C,C,C,C,C,T,T,T,T,T,T,C,C,T,T,T,T,,,—,—,C,C,C
202,Wobbuffet,,,,,C,C,C,C,C,C,C,C,C,C,C,C,C,E,E,R,R,C,C,C,C,T,T,T,T,,,C,C,C,C,—
203,Girafarig,,,,,C,C,T,C,C,T,T,C,C,C,C,C,C,DW,DW,CC,CC,FS,FS,C,C,T,T,T,T,,,—,—,C,C,—
204,Pineco,,,,,C,C,C,Ev,Ev,Ev,Ev,C,D,D,D,C,C,S,S,S,S,FSB,FSB,B,B,T,T,C,C,,,—,—,C,C,—
205,Forretress,,,,,E,E,E,EvE,EvE,EvE,EvE,E,DE,DE,DE,E,E,E,E,E,E,FS,FS,C,C,T,T,E,E,,,—,—,E,E,—
206,Dunsparce,,,,,C,C,C,T,T,C,C,T,S,S,S,C,C,C,C,C,C,C,C,T,T,T,T,C,C,,,CD,CD,S,S,—
207,Gligar,,,,,C,Ev,C,Ev,Ev,Ev,Ev,C,D,D,C,C,T,C,C,C,C,C,C,T,T,T,T,T,T,,,—,—,C,T,C
208,Steelix,,,,,ET,ET,ET,T,T,ET,ET,T,C,C,C,C,C,ET,ET,C,C,R,R,ET,ET,T,T,ET,ET,,,C,C,C,C,C
209,Snubbull,,,,,C,C,C,Ev,Ev,Ev,Ev,C,S,S,S,C,C,DW,DW,B,B,C,C,T,T,B,B,C,C,,,—,—,C,C,—
210,Granbull,,,,,E,E,C,EvE,EvE,EvE,EvE,E,E,E,E,E,E,DWE,DWE,C,C,E,E,T,T,C,C,C,C,,,—,—,E,E,—
211,Qwilfish,,,,,C,C,C,Ev,Ev,C,Ev,Ev,C,C,C,C,C,C,C,C,C,C,C,T,T,T,T,T,T,,,C,C,C,C,—
211,Qwilfish (Hisuian),,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,,—,—,—,—,C
212,Scizor,,,,,ET,ET,ET,EvE,EvE,ET,EvE,EvE,ET,Ev,ET,ET,ET,DWET,DWET,DWET,DWET,ET,ET,T,T,ET,ET,ET,ET,,,CD,CD,ET,T,C
213,Shuckle,,,,,C,C,C,Ev,Ev,Ev,Ev,C,D,D,D,C,C,C,C,C,C,C,C,T,T,T,T,T,T,,,C,C,C,C,—
214,Heracross,,,,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,FS,C,C,C,T,T,C,C,,,T,CD,C,C,C
215,Sneasel,,,,,C,C,C,Ev,Ev,Ev,C,Ev,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,,,C,C,C,C,C
215,Sneasel (Hisuian),,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,,—,—,—,—,C
216,Teddiursa,,,,,C,Ev,C,Ev,Ev,Ev,Ev,C,D,D,D,T,C,DW,DW,R,R,B,B,T,T,T,T,T,T,,,—,—,T,C,C
217,Ursaring,,,,,C,EvE,C,EvE,EvE,EvE,EvE,E,D,D,D,T,C,DWE,DWE,E,E,C,C,T,T,T,T,T,T,,,—,—,T,E,C
218,Slugma,,,,,C,C,C,C,C,C,C,C,C,C,C,C,C,DW,DW,DW,DW,C,C,C,C,T,T,B,B,,,—,—,C,C,—
219,Magcargo,,,,,E,E,E,E,E,C,C,E,C,C,C,E,E,DWE,DWE,DWE,DWE,E,E,E,E,T,T,C,C,,,—,—,C,C,—
220,Swinub,,,,,C,C,C,T,T,C,C,T,S,S,C,C,C,B,B,B,B,B,B,T,T,S,S,S,S,,,C,C,C,C,C
221,Piloswine,,,,,E,E,E,T,T,E,E,T,E,E,C,E,E,C,C,C,C,C,C,T,T,E,E,E,E,,,C,C,E,E,C
222,Corsola,,,,,C,C,C,C,C,Ev,Ev,C,S,S,S,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,T,RD,C,C,—
222,"Corsola
(Galarian)",,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,,T,C,—,—,—
223,Remoraid,,,,,C,C,Ev,T,T,T,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,,,C,C,C,C,C
224,Octillery,,,,,E,E,EvE,T,T,T,E,E,C,C,C,E,E,C,C,C,C,C,C,C,C,T,T,C,C,,,C,C,C,C,C
225,Delibird,,,,,Ev,C,C,Ev,Ev,C,Ev,Ev,S,S,S,T,C,C,C,C,C,C,C,C,C,C,C,C,C,,,C,C,C,C,—
226,Mantine,,,,,C,Ev,C,Ev,Ev,Ev,C,Ev,E,E,E,C,T,C,C,C,C,E,E,C,C,T,T,E,E,,,C,C,E,E,C
227,Skarmory,,,,,Ev,C,C,C,C,C,T,C,C,C,C,T,C,DW,DW,C,C,C,C,C,C,C,C,C,C,,,CD,CD,C,C,—
228,Houndour,,,,,C,C,C,Ev,Ev,Ev,Ev,C,T,B,C,C,C,S,DW,DW,DW,C,EvB,T,T,T,T,C,T,,,—,—,B,B,—
229,Houndoom,,,,,E,E,E,EvE,EvE,EvE,EvE,E,T,C,E,C,C,E,DWE,DWE,DWE,E,Ev,T,T,T,T,C,T,,,—,—,C,C,—
230,Kingdra,,,,,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,C,C,C,C,ET,ET,ET,ET,ET,ET,ET,ET,,,CD,CD,ET,ET,—
231,Phanpy,,,,,Ev,C,C,C,C,C,C,C,S,S,S,C,T,DW,DW,R,R,FS,FS,B,B,T,T,T,T,,,—,—,C,C,—
232,Donphan,,,,,EvE,C,C,E,E,E,E,E,E,E,E,C,T,DWE,DWE,E,E,FSE,FSE,C,C,T,T,T,T,,,—,—,E,E,—
233,Porygon2,,,,,ET,ET,ET,T,T,ET,ET,T,ET,ET,ET,ET,ET,EvE,ET,DRET,DRET,T,T,ET,ET,ET,ET,ET,ET,,,EDT,EDT,ET,ET,C
234,Stantler,,,,,C,C,C,Ev,Ev,Ev,Ev,C,T,C,C,C,C,C,C,DW,DW,T,T,C,C,T,T,T,T,,,—,—,T,C,C
235,Smeargle,,,,,C,C,C,Ev,Ev,Ev,Ev,C,C,C,C,C,C,S,S,DW,DW,C,C,Ev,Ev,C,C,C,C,,,—,—,C,C,—
236,Tyrogue,,,,,R,R,R,T,T,B,B,T,C,C,C,R,R,S,S,DW,DW,FS,FS,C,C,T,T,T,T,,,C,C,C,C,—
237,Hitmontop,,,,,E,E,E,T,T,E,E,T,E,E,E,E,E,E,E,DWE,DWE,FSE,FSE,E,E,T,T,T,T,,,C,C,E,E,—
238,Smoochum,,,,,B,B,R,T,T,B,B,T,S,S,C,B,B,B,B,DR,DR,C,C,T,T,T,T,C,C,,,CD,CD,C,C,—
239,Elekid,,,,,B,B,R,EvB,EvB,B,EvB,EvB,D,D,B,B,B,DW,C,DW,C,FSB,FSB,C,C,C,C,C,C,,,CD,CD,C,T,C
240,Magby,,,,,B,B,R,EvB,EvB,EvB,B,EvB,D,D,B,B,B,DW,C,C,DW,FSB,FSB,C,C,C,C,C,C,,,CD,CD,T,C,C
241,Miltank,,,,,C,C,C,T,T,T,T,C,C,C,C,C,C,DW,DW,DW,DW,C,C,Ev,Ev,C,C,C,C,,,CD,CD,C,C,—
242,Blissey,,,,,E,E,E,EvE,EvE,E,E,EvE,E,E,E,E,E,DWE,E,E,E,FSE,FSE,E,E,E,E,C,C,,,CD,CD,E,E,C
243,Raikou,,,,,C,C,C,Ev,Ev,C,C,Ev,Ev,Ev,Ev,C,C,T,T,T,T,T,T,C,C,T,Ev,C,Ev,,,DA,DA,C,T,—
244,Entei,,,,,C,C,C,Ev,Ev,C,C,Ev,Ev,Ev,Ev,C,C,T,T,T,T,T,T,C,C,Ev,T,Ev,C,,,DA,DA,C,T,—
245,Suicune,,,,,C,C,C,Ev,Ev,C,C,Ev,Ev,Ev,Ev,C,C,T,T,T,T,T,T,C,C,T,T,CC,CC,,,DA,DA,C,T,—
246,Larvitar,,,,,C,C,C,EvB,EvB,C,C,EvB,C,T,S,C,C,B,B,B,B,FSB,C,EvB,EvB,T,T,C,C,,,EV,C,C,T,—
247,Pupitar,,,,,E,E,C,EvB,EvB,E,E,EvB,E,T,E,C,C,C,C,C,C,FS,C,EvB,EvB,T,T,E,E,,,EVE,C,C,T,—
248,Tyranitar,,,,,E,E,E,Ev,Ev,E,E,Ev,E,T,E,E,E,C,C,C,C,FSE,E,Ev,Ev,T,T,E,E,,,EVE,C,E,T,—
249,Lugia,,,,,C,C,C,Ev,Ev,EV,EV,EV,T,T,T,C,C,T,T,DR,DR,Ev,Ev,Ev,C,Ev,Ev,Ev,C,,,CCDA,DA,T,C,—
250,Ho-Oh,,,,,C,C,C,Ev,Ev,EV,EV,EV,T,T,T,C,C,T,T,DR,DR,T,T,C,Ev,Ev,Ev,C,T,,,DA,CCDA,C,T,—
251,Celebi,,,,,Ev,Ev,C*,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,T,T,T,T,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,,,T,T,T,T,—
252,Treecko,,,,,,,,R,R,Ev,Ev,R,T,T,T,R,R,Ev,Ev,T,T,T,T,R,R,T,T,B,B,,,BD,BD,C,C,—
253,Grovyle,,,,,,,,E,E,EvE,EvE,E,T,T,T,E,E,EvE,EvE,T,T,T,T,E,E,T,T,S,S,,,DA,DA,E,E,—
254,Sceptile,,,,,,,,E,E,EvE,EvE,E,T,T,T,E,E,Ev,Ev,T,T,T,T,E,E,T,T,E,E,,,DA,DA,E,E,—
255,Torchic,,,,,,,,R,R,Ev,Ev,R,T,T,T,R,R,Ev,Ev,T,T,Ev,Ev,R,R,T,T,B,B,,,BD,BD,C,C,—
256,Combusken,,,,,,,,E,E,EvE,EvE,E,T,T,T,E,E,EvE,EvE,T,T,EvE,EvE,E,E,T,T,S,S,,,DA,DA,E,E,—
257,Blaziken,,,,,,,,E,E,Ev,Ev,E,T,T,T,E,E,Ev,Ev,T,T,EvE,EvE,E,E,T,T,E,E,,,DA,DA,E,E,—
258,Mudkip,,,,,,,,R,R,Ev,Ev,R,T,T,T,R,R,Ev,Ev,T,T,T,T,R,R,T,T,B,B,,,BD,BD,C,C,—
259,Marshtomp,,,,,,,,E,E,EvE,EvE,E,T,T,T,E,E,EvE,EvE,T,T,T,T,E,E,T,T,S,S,,,DA,DA,E,E,—
260,Swampert,,,,,,,,E,E,EvE,EvE,E,T,T,T,E,E,Ev,Ev,T,T,T,T,E,E,T,T,E,E,,,DA,DA,E,E,—
261,Poochyena,,,,,,,,C,C,T,T,C,B,T,C,S,S,DW,S,DW,DW,B,FSB,C,C,T,T,EvB,EvB,,,—,—,C,C,—
262,Mightyena,,,,,,,,E,E,T,T,C,C,T,E,E,E,DWE,E,DWE,DWE,C,FS,E,E,T,T,Ev,Ev,,,—,—,C,C,—
263,Zigzagoon,,,,,,,,C,C,Ev,Ev,C,S,S,S,C,C,DW,DW,DW,DW,C,C,C,C,T,T,T,T,,,RD,RD,C,C,—
263,"Zigzagoon
(Galarian)",,,,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,,C,C,—,—,—
264,Linoone,,,,,,,,C,C,EvE,EvE,C,E,E,E,C,C,DWE,DWE,DWE,DWE,E,E,C,C,T,T,T,T,,,ED,ED,E,E,—
264,"Linoone
(Galarian)",,,,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,,C,C,—,—,—
265,Wurmple,,,,,,,,C,C,T,T,C,C,C,C,C,C,DW,C,DW,DW,FSB,FSB,C,C,T,T,T,T,,,—,—,C,C,C
266,Silcoon,,,,,,,,C,C,T,T,C,C,E,C,C,C,DWE,E,DWE,DWE,FSB,FSB,C,C,T,T,T,T,,,—,—,C,E,C
267,Beautifly,,,,,,,,E,E,T,T,E,C,C,C,C,C,DWE,E,DWE,DWE,FS,FS,E,E,T,T,T,T,,,—,—,C,C,C
268,Cascoon,,,,,,,,C,C,T,T,C,E,C,C,C,C,DWE,E,DWE,DWE,FS,FS,C,C,T,T,T,T,,,—,—,E,C,C
269,Dustox,,,,,,,,E,E,T,T,E,E,C,C,C,C,DWE,E,DWE,DWE,FSE,FSE,E,E,T,T,T,T,,,—,—,E,C,C
270,Lotad,,,,,,,,Ev,C,Ev,Ev,C,D,D,D,C,C,DW,C,B,B,B,B,T,C,T,T,B,B,,,T,C,T,C,—
271,Lombre,,,,,,,,EvE,C,EvE,EvE,C,D,D,D,E,E,DWE,E,C,C,C,C,T,C,T,T,C,C,,,T,C,T,C,—
272,Ludicolo,,,,,,,,Ev,E,EvE,EvE,E,DE,DE,DE,E,E,DWE,E,E,E,E,E,T,E,T,T,E,E,,,T,C,T,E,—
273,Seedot,,,,,,,,C,CCS,Ev,Ev,C,D,D,D,C,C,DW,C,CCB,CCB,FSB,FSB,C,T,T,T,B,B,,,C,T,C,T,—
274,Nuzleaf,,,,,,,,C,CCS,EvE,EvE,C,D,D,D,C,C,DWE,E,CC,CC,FS,FS,C,T,T,T,C,C,,,C,T,C,T,—
275,Shiftry,,,,,,,,E,CCE,EvE,EvE,E,DE,DE,DE,E,E,DWE,E,CC,CC,FSE,FSE,E,T,T,T,E,E,,,C,T,E,T,—
276,Taillow,,,,,,,,C,C,Ev,Ev,C,B,B,B,C,C,B,B,B,B,C,C,C,C,T,T,B,B,,,—,—,B,B,—
277,Swellow,,,,,,,,C,C,EvE,EvE,C,C,C,C,E,E,C,C,S,S,E,E,E,E,T,T,C,C,,,—,—,C,C,—
278,Wingull,,,,,,,,C,C,T,T,C,C,C,C,S,S,C,C,B,B,C,C,C,C,C,C,C,C,,,C,C,C,C,—
