Bankable,Breeedable Form,Origin,Games First Appears On,Form variant,Regional form,Special form,Family,Family order,Evolution,Pokémon,Pokémon Fr,Dex,Sprites,Shiny Sprites,Icon,Bulbapedia Name,Bankable-ish,Slug,Type 1,Type 1 ico,Type 2,Type 2 ico,Steps,Egg Group,Egg Group 2,Male,Female,Ability 1,Ability 2,Hidden Ability,Abilities,All Moves,Move Type,Natures,Increases,Decreases
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Krabby,1,28,Kingler,Krabboss,99,,,kingler,Kingler,,kingler,Water,,,,"5,120",Water 3,,50.00%,50.00%,Hyper Cutter,Shell Armor,Sheer Force,Rattled,Drain Punch,Fighting,,,
Yes,No,8,"Sword, Shield",,,Gigantamax,Krabby,2,,Gigantamax Kingler,Gigamax Krabboss,99,,,kingler-gmax,Kingler,,kingler-gmax,Water,,,,"5,120",Water 3,,50.00%,50.00%,Hyper Cutter,Shell Armor,Sheer Force,Receiver,Draining Kiss,Fairy,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Voltorb,0,,Voltorb,Voltorbe,100,,,voltorb,Voltorb,,voltorb,Electric,,,,"5,120",Mineral,,○,○,Soundproof,Static,Aftermath,Reckless,Dream Eater,Pyschic,,,
Yes,Yes,8,Pokémon Legends Arceus,,Hisuian,,Voltorb,1,,Voltorb-Hisui,Voltorbe de Hisui,100,,,voltorb-hisui,Voltorb (Hisuian),,voltorb-hisui,Electric,,Grass,,,,,,,,,,,,,,,
Yes,Yes,8,Pokémon Legends Arceus,,Hisuian,Alpha,Voltorb,2,,Alpha Voltorb-Hisui,Baron Voltorbe de Hisui,100,,,voltorb-hisui,Voltorb (Hisuian),,voltorb-hisui-alpha,Electric,,Grass,,,,,,,,,,,,,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Voltorb,3,30,Electrode,Électrode,101,,,electrode,Electrode,,electrode,Electric,,,,"5,120",Mineral,,○,○,Soundproof,Static,Aftermath,Refrigerate,Drill Peck,Flying,,,
Yes,Yes,8,Pokémon Legends Arceus,,Hisuian,,Voltorb,4,30,Electrode-Hisui,Électrode de Hisui,101,,,electrode,Electrode (Hisuian),,electrode-hisui,Electric,,,,"5,120",Mineral,,○,○,Soundproof,Static,Aftermath,Refrigerate,Drill Peck,Flying,,,
Yes,Yes,8,Pokémon Legends Arceus,,Hisuian,Alpha,Voltorb,5,30,Alpha Electrode-Hisui,Alpha Électrode de Hisui,101,,,electrode,Electrode (Hisuian),,electrode-hisui-alpha,Electric,,,,"5,120",Mineral,,○,○,Soundproof,Static,Aftermath,Refrigerate,Drill Peck,Flying,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Exeggcute,0,,Exeggcute,Noeunoeuf,102,,,exeggcute,Exeggcute,,exeggcute,Grass,,Pyschic,,"5,120",Grass,,50.00%,50.00%,Chlorophyll,,Harvest,Regenerator,Drill Run,Ground,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Exeggcute,1,Leaf Stone,Exeggutor,Noadkoko,103,,,exeggutor,Exeggutor,,exeggutor,Grass,,Pyschic,,"5,120",Grass,,50.00%,50.00%,Chlorophyll,,Harvest,Ripen,Drum Beating,Grass,,,
Yes,Yes,7,"Sun, Moon",,Alolan,,Exeggcute,2,Leaf Stone,Exeggutor-Alola,Noadkoko d'Alola,103,,,exeggutor-alola,"Exeggutor
(Alolan)",,exeggutor-alola,Grass,,Dragon,,"5,120",Grass,,50.00%,50.00%,Frisk,,Harvest,Rivalry,Dual Chop,Dragon,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Cubone,0,,Cubone,Osselait,104,,,cubone,Cubone,,cubone,Ground,,,,"5,120",Monster,,50.00%,50.00%,Rock Head,Lightning Rod,Battle Armor,RKS System,Dynamax Cannon,Dragon,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Cubone,1,28,Marowak,Ossatueur,105,,,marowak,Marowak,,marowak,Ground,,,,"5,120",Monster,,50.00%,50.00%,Rock Head,Lightning Rod,Battle Armor,Rock Head,Dynamic Punch,Fighting,,,
Yes,Yes,7,"Sun, Moon",,Alolan,,Cubone,2,28 (Night),Marowak-Alola,Ossatueur d'Alola,105,,,marowak-alola,"Marowak
(Alolan)",,marowak-alola,Fire,,Ghost,,"5,120",Monster,,50.00%,50.00%,Cursed Body,Lightning Rod,Rock Head,Rough Skin,Earth Power,Ground,,,
Yes,No,7,"Sun, Moon",,Alolan,Totem,Cubone,3,,Totem Marowak-Alola,Totem Ossatueur d'Alola,105,,,marowak-alola,"Marowak
(Alolan)",,marowak-alola-totem,Fire,,Ghost,,"5,120",Monster,,50.00%,50.00%,Rock Head,,,Run Away,Earthquake,Ground,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Hitmonlee,0,20 (A>D),Hitmonlee,Kicklee,106,,,hitmonlee,Hitmonlee,,hitmonlee,Fighting,,,,"6,400",Human-Like,,100.00%,0.00%,Limber,Reckless,Unburden,Sand Force,Echoed Voice,Normal,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Hitmonlee,1,20 (A<D),Hitmonchan,Tygnon,107,,,hitmonchan,Hitmonchan,,hitmonchan,Fighting,,,,"6,400",Human-Like,,100.00%,0.00%,Keen Eye,Iron Fist,Inner Focus,Sand Rush,Eerie Impulse,Electric,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Lickitung,0,,Lickitung,Excelangue,108,,,lickitung,Lickitung,,lickitung,Normal,,,,"5,120",Monster,,50.00%,50.00%,Own Tempo,Oblivious,Cloud Nine,Sand Spit,Egg Bomb,Normal,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Lickitung,1,,Alpha Lickitung,Baron Excelangue,108,,,lickitung,Lickitung,,lickitung-alpha,Normal,,,,"5,120",Monster,,50.00%,50.00%,Own Tempo,Oblivious,Cloud Nine,Sand Spit,Egg Bomb,Normal,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Koffing,0,,Koffing,Smogo,109,,,koffing,Koffing,,koffing,Poison,,,,"5,120",Amorphous,,50.00%,50.00%,Levitate,,,Sand Stream,Electric Terrain,Electric,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Koffing,1,35,Weezing,Smogogo,110,,,weezing,Weezing,,weezing,Poison,,,,"5,120",Amorphous,,50.00%,50.00%,Levitate,,,Sand Veil,Electrify,Electric,,,
Yes,Yes,8,"Sword, Shield",,Galarian,,Koffing,2,35,Weezing-Galar,Smogogo de Galar,110,,,weezing-galar,"Weezing
(Galarian)",,weezing-galar,Poison,,Fairy,,"5,120",Amorphous,,50.00%,50.00%,Levitate,Neutralizing Gas,Misty Surge,Sap Sipper,Electro Ball,Electric,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Rhyhorn,0,,Rhyhorn,Rhinocorne,111,,,rhyhorn,Rhyhorn,,rhyhorn,Ground,,Rock,,"5,120",Monster,Field,50.00%,50.00%,Lightning Rod,Rock Head,Reckless,Schooling,Electroweb,Electric,,,
Yes,Yes,4,"Diamond, Pearl, Platinium",Gender,,,Rhyhorn,1,,Rhyhorn ♀,Rhinocorne ♀,111,,,rhyhorn,Rhyhorn,,rhyhorn-f,Ground,,Rock,,"5,120",Monster,Field,50.00%,50.00%,Lightning Rod,Rock Head,Reckless,Scrappy,Embargo,Dark,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Rhyhorn,2,,Alpha Rhyhorn,Baron Rhinocorne,111,,,rhyhorn,Rhyhorn,,rhyhorn-alpha,Ground,,Rock,,"5,120",Monster,Field,50.00%,50.00%,Lightning Rod,Rock Head,Reckless,Schooling,Electroweb,Electric,,,
Yes,Yes,8,Pokémon Legends Arceus,Gender,,Alpha,Rhyhorn,3,,Alpha Rhyhorn ♀,Baron Rhinocorne ♀,111,,,rhyhorn,Rhyhorn,,rhyhorn-alpha-f,Ground,,Rock,,"5,120",Monster,Field,50.00%,50.00%,Lightning Rod,Rock Head,Reckless,Scrappy,Embargo,Dark,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Rhyhorn,4,42,Rhydon,Rhinoféros,112,,,rhydon,Rhydon,,rhydon,Ground,,Rock,,"5,120",Monster,Field,50.00%,50.00%,Lightning Rod,Rock Head,Reckless,Screen Cleaner,Ember,Fire,,,
Yes,Yes,4,"Diamond, Pearl, Platinium",Gender,,,Rhyhorn,5,42,Rhydon ♀,Rhinoféros ♀,112,,,rhydon,Rhydon,,rhydon-f,Ground,,Rock,,"5,120",Monster,Field,50.00%,50.00%,Lightning Rod,Rock Head,Reckless,Serene Grace,Encore,Normal,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Rhyhorn,6,42,Alpha Rhydon,Baron Rhinoféros,112,,,rhydon,Rhydon,,rhydon-alpha,Ground,,Rock,,"5,120",Monster,Field,50.00%,50.00%,Lightning Rod,Rock Head,Reckless,Screen Cleaner,Ember,Fire,,,
Yes,Yes,8,Pokémon Legends Arceus,Gender,,Alpha,Rhyhorn,7,42,Alpha Rhydon ♀,Baron Rhinoféros ♀,112,,,rhydon,Rhydon,,rhydon-alpha-f,Ground,,Rock,,"5,120",Monster,Field,50.00%,50.00%,Lightning Rod,Rock Head,Reckless,Serene Grace,Encore,Normal,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Chansey,0,2 (Day + Oval Stone),Chansey,Leveinard,113,,,chansey,Chansey,,chansey,Normal,,,,"10,240",Fairy,,0.00%,100.00%,Natural Cure,Serene Grace,Healer,Shadow Shield,Endeavor,Normal,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Chansey,1,2 (Day + Oval Stone),Alpha Chansey,Baron Leveinard,113,,,chansey,Chansey,,chansey-alpha,Normal,,,,"10,240",Fairy,,0.00%,100.00%,Natural Cure,Serene Grace,Healer,Shadow Shield,Endeavor,Normal,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Tangela,0,,Tangela,Saquedeneu,114,,,tangela,Tangela,,tangela,Grass,,,,"5,120",Grass,,50.00%,50.00%,Chlorophyll,Leaf Guard,Regenerator,Shadow Tag,Endure,Normal,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Kangaskhan,0,,Kangaskhan,Kangourex,115,,,kangaskhan,Kangaskhan,,kangaskhan,Normal,,,,"5,120",Monster,,0.00%,100.00%,Early Bird,Scrappy,Inner Focus,Shed Skin,Energy Ball,Grass,,,
No,No,6,"X, Y",,,Mega,Kangaskhan,1,,Mega Kangaskhan,Mega Kangourex,115,,,kangaskhan-mega,Kangaskhan,Yes,kangaskhan-mega,Normal,,,,"5,120",Monster,,0.00%,100.00%,Parental Bond,,,Sheer Force,Entrainment,Normal,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Horsea,0,,Horsea,Hypotrempe,116,,,horsea,Horsea,,horsea,Water,,,,"5,120",Water 1,Dragon,50.00%,50.00%,Swift Swim,Sniper,Damp,Shell Armor,Eruption,Fire,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Horsea,1,32,Seadra,Hypocéan,117,,,seadra,Seadra,,seadra,Water,,,,"5,120",Water 1,Dragon,50.00%,50.00%,Poison Point,Sniper,Damp,Shield Dust,Eternabeam,Dragon,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Goldeen,0,,Goldeen,Poissirène,118,,,goldeen,Goldeen,,goldeen,Water,,,,"5,120",Water 2,,50.00%,50.00%,Swift Swim,Water Veil,Lightning Rod,Shields Down,Explosion,Normal,,,
Yes,Yes,4,"Diamond, Pearl, Platinium",Gender,,,Goldeen,1,,Goldeen ♀,Poissirène ♀,118,,,goldeen,Goldeen,,goldeen-f,Water,,,,"5,120",Water 2,,50.00%,50.00%,Swift Swim,Water Veil,Lightning Rod,Simple,Extrasensory,Pyschic,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Goldeen,2,33,Seaking,Poissoroy,119,,,seaking,Seaking,,seaking,Water,,,,"5,120",Water 2,,50.00%,50.00%,Swift Swim,Water Veil,Lightning Rod,Skill Link,Extreme Evoboost,Normal,,,
Yes,Yes,4,"Diamond, Pearl, Platinium",Gender,,,Goldeen,3,33,Seaking ♀,Poissoroy ♀,119,,,seaking,Seaking,,seaking-f,Water,,,,"5,120",Water 2,,50.00%,50.00%,Swift Swim,Water Veil,Lightning Rod,Slow Start,Extreme Speed,Normal,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Staryu,0,,Staryu,Stari,120,,,staryu,Staryu,,staryu,Water,,,,"5,120",Water 3,,○,○,Illuminate,Natural Cure,Analytic,Slush Rush,Facade,Normal,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Staryu,1,Water Stone,Starmie,Staross,121,,,starmie,Starmie,,starmie,Water,,Pyschic,,"5,120",Water 3,,○,○,Illuminate,Natural Cure,Analytic,Sniper,Fairy Lock,Fairy,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Mr. Mime,0,2 (Know Mimic),Mr. Mime,M. Mime,122,,,mr-mime,Mr. Mime,,mr-mime,Pyschic,,Fairy,,"6,240",Human-Like,,50.00%,50.00%,Soundproof,Filter,Technician,Snow Cloak,Fairy Wind,Fairy,,,
Yes,Yes,8,"Sword, Shield",,Galarian,,Mr. Mime,1,2 (Know Mimic),Mr. Mime-Galar,M. Mime de Galar,122,,,mr-mime-galar,"Mr. Mime
(Galarian)",,mr-mime-galar,Ice,,Pyschic,,"6,240",Human-Like,,50.00%,50.00%,Vital Spirit,Screen Cleaner,Ice Body,Snow Warning,Fake Out,Normal,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Mr. Mime,2,2 (Know Mimic),Alpha Mr. Mime,Baron Mr. Mime,122,,,mr-mime,Mr. Mime,,mr-mime-alpha,Pyschic,,Fairy,,"6,240",Human-Like,,50.00%,50.00%,Soundproof,Filter,Technician,Snow Cloak,Fairy Wind,Fairy,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Scyther,0,,Scyther,Insécateur,123,,,scyther,Scyther,,scyther,Bug,,Flying,,"6,240",Bug,,50.00%,50.00%,Swarm,Technician,Steadfast,Solar Power,Fake Tears,Dark,,,
Yes,Yes,4,"Diamond, Pearl, Platinium",Gender,,,Scyther,1,,Scyther ♀,Insécateur ♀,123,,,scyther,Scyther,,scyther-f,Bug,,Flying,,"6,240",Bug,,50.00%,50.00%,Swarm,Technician,Steadfast,Solid Rock,False Surrender,Dark,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Scyther,2,,Alpha Scyther,Baron Insécateur,123,,,scyther,Scyther,,scyther-alpha,Bug,,Flying,,"6,240",Bug,,50.00%,50.00%,Swarm,Technician,Steadfast,Solar Power,Fake Tears,Dark,,,
Yes,Yes,8,Pokémon Legends Arceus,Gender,,Alpha,Scyther,3,,Alpha Scyther ♀,Baron Insécateur ♀,123,,,scyther,Scyther,,scyther-alpha-f,Bug,,Flying,,"6,240",Bug,,50.00%,50.00%,Swarm,Technician,Steadfast,Solid Rock,False Surrender,Dark,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Jynx,0,30,Jynx,Lippoutou,124,,,jynx,Jynx,,jynx,Ice,,Pyschic,,"6,240",Human-Like,,0.00%,100.00%,Oblivious,Forewarn,Dry Skin,Soul-Heart,False Swipe,Normal,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Electabuzz,0,30,Electabuzz,Élektek,125,,,electabuzz,Electabuzz,,electabuzz,Electric,,,,"6,240",Human-Like,,75.00%,25.00%,Static,,Vital Spirit,Soundproof,Feather Dance,Flying,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Electabuzz,1,30,Alpha Electabuzz,Baron Élektek,125,,,electabuzz,Electabuzz,,electabuzz-alpha,Electric,,,,"6,240",Human-Like,,75.00%,25.00%,Static,,Vital Spirit,Soundproof,Feather Dance,Flying,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Magmar,0,30,Magmar,Magmar,126,,,magmar,Magmar,,magmar,Fire,,,,"6,240",Human-Like,,75.00%,25.00%,Flame Body,,Vital Spirit,Speed Boost,Feint,Normal,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Magmar,1,30,Alpha Magmar,Baron Magmar,126,,,magmar,Magmar,,magmar-alpha,Fire,,,,"6,240",Human-Like,,75.00%,25.00%,Flame Body,,Vital Spirit,Speed Boost,Feint,Normal,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Pinsir,0,,Pinsir,Scarabrute,127,,,pinsir,Pinsir,,pinsir,Bug,,,,"6,240",Bug,,50.00%,50.00%,Hyper Cutter,Mold Breaker,Moxie,Stakeout,Feint Attack,Dark,,,
No,No,6,"X, Y",,,Mega,Pinsir,1,,Mega Pinsir,Mega Scarabrute,127,,,pinsir-mega,Pinsir,Yes,pinsir-mega,Bug,,Flying,,"6,240",Bug,,50.00%,50.00%,Aerilate,,,Stall,Fell Stinger,Bug,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Tauros,0,,Tauros,Tauros,128,,,tauros,Tauros,,tauros,Normal,,,,"5,120",Field,,100.00%,0.00%,Intimidate,Anger Point,Sheer Force,Stalwart,Fiery Dance,Fire,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Magikarp,0,,Magikarp,Magicarpe,129,,,magikarp,Magikarp,,magikarp,Water,,,,"1,280",Water 2,Dragon,50.00%,50.00%,Swift Swim,,Rattled,Stamina,Final Gambit,Fighting,,,
Yes,Yes,4,"Diamond, Pearl, Platinium",Gender,,,Magikarp,1,,Magikarp ♀,Magicarpe ♀,129,,,magikarp,Magikarp,,magikarp-f,Water,,,,"1,280",Water 2,Dragon,50.00%,50.00%,Swift Swim,,Rattled,Stance Change,Fire Blast,Fire,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Magikarp,2,,Alpha Magikarp,Baron Magicarpe,129,,,magikarp,Magikarp,,magikarp-alpha,Water,,,,"1,280",Water 2,Dragon,50.00%,50.00%,Swift Swim,,Rattled,Stamina,Final Gambit,Fighting,,,
Yes,Yes,8,Pokémon Legends Arceus,Gender,,Alpha,Magikarp,3,,Alpha Magikarp ♀,Baron Magicarpe ♀,129,,,magikarp,Magikarp,,magikarp-alpha-f,Water,,,,"1,280",Water 2,Dragon,50.00%,50.00%,Swift Swim,,Rattled,Stance Change,Fire Blast,Fire,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Magikarp,4,20,Gyarados,Léviator,130,,,gyarados,Gyarados,,gyarados,Water,,Flying,,"1,280",Water 2,Dragon,50.00%,50.00%,Intimidate,,Moxie,Static,Fire Fang,Fire,,,
Yes,Yes,4,"Diamond, Pearl, Platinium",Gender,,,Magikarp,5,20,Gyarados ♀,Léviator ♀,130,,,gyarados,Gyarados,,gyarados-f,Water,,Flying,,"1,280",Water 2,Dragon,50.00%,50.00%,Intimidate,,Moxie,Steadfast,Fire Lash,Fire,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Magikarp,6,20,Alpha Gyarados,Baron Léviator,130,,,gyarados,Gyarados,,gyarados-alpha,Water,,Flying,,"1,280",Water 2,Dragon,50.00%,50.00%,Intimidate,,Moxie,Static,Fire Fang,Fire,,,
Yes,Yes,8,Pokémon Legends Arceus,Gender,,Alpha,Magikarp,7,20,Alpha Gyarados ♀,Baron Léviator ♀,130,,,gyarados,Gyarados,,gyarados-alpha-f,Water,,Flying,,"1,280",Water 2,Dragon,50.00%,50.00%,Intimidate,,Moxie,Steadfast,Fire Lash,Fire,,,
No,No,6,"X, Y",,,Mega,Magikarp,8,,Mega Gyarados,Mega Léviator,130,,,gyarados-mega,Gyarados,Yes,gyarados-mega,Water,,Dark,,"1,280",Water 2,Dragon,50.00%,50.00%,Mold Breaker,,,Steam Engine,Fire Pledge,Fire,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Lapras,0,,Lapras,Lokhlass,131,,,lapras,Lapras,,lapras,Water,,Ice,,"10,240",Monster,Water 1,50.00%,50.00%,Water Absorb,Shell Armor,Hydration,Steelworker,Fire Punch,Fire,,,
Yes,No,8,"Sword, Shield",,,Gigantamax,Lapras,1,,Gigantamax Lapras,Gigamax Lokhlass,131,,,lapras-gmax,Lapras,,lapras-gmax,Water,,Ice,,"10,240",Monster,Water 1,50.00%,50.00%,Water Absorb,Shell Armor,Hydration,Steely Spirit,Fire Spin,Fire,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Ditto,0,,Ditto,Métamorph,132,,,ditto,Ditto,,ditto,Normal,,,,"5,120",Ditto,,○,○,Limber,,Imposter,Stench,First Impression,Bug,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Eevee,0,,Eevee,Évoli,133,,,eevee,Eevee,,eevee,Normal,,,,"8,960",Field,,88.10%,11.90%,Run Away,Adaptability,Anticipation,Sticky Hold,Fishious Rend,Water,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Eevee,1,,Alpha Eevee,Baron Évoli,133,,,eevee,Eevee,,eevee-alpha,Normal,,,,"8,960",Field,,88.10%,11.90%,Run Away,Adaptability,Anticipation,Sticky Hold,Fishious Rend,Water,,,
Yes,Yes,4,"Diamond, Pearl, Platinium",Gender,,,Eevee,2,,Eevee ♀,Évoli ♀,133,,,eevee,Eevee,,eevee-f,Normal,,,,"8,960",Field,,88.10%,11.90%,Run Away,Adaptability,Anticipation,Sticky Hold,Fissure,Ground,,,
Yes,Yes,8,Pokémon Legends Arceus,Gender,,Alpha,Eevee,3,,Alpha Eevee ♀,Baron Évoli ♀,133,,,eevee,Eevee,,eevee-alpha-f,Normal,,,,"8,960",Field,,88.10%,11.90%,Run Away,Adaptability,Anticipation,Sticky Hold,Fissure,Ground,,,
Yes,No,8,"Sword, Shield",,,Gigantamax,Eevee,4,,Gigantamax Eevee,Gigamax Évoli,133,,,eevee-gmax,Eevee,,eevee-gmax,Normal,,,,"8,960",Field,,88.10%,11.90%,Run Away,Adaptability,Anticipation,Storm Drain,Flail,Normal,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Eevee,5,,Vaporeon,Aquali,134,,,vaporeon,Vaporeon,,vaporeon,Water,,,,"8,960",Field,,88.10%,11.90%,Water Absorb,,Hydration,Strong Jaw,Flame Burst,Fire,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Eevee,6,,Alpha Vaporeon,Baron Aquali,134,,,vaporeon,Vaporeon,,vaporeon-alpha,Water,,,,"8,960",Field,,88.10%,11.90%,Water Absorb,,Hydration,Strong Jaw,Flame Burst,Fire,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Eevee,7,,Jolteon,Voltali,135,,,jolteon,Jolteon,,jolteon,Electric,,,,"8,960",Field,,88.10%,11.90%,Volt Absorb,,Quick Feet,Sturdy,Flame Charge,Fire,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Eevee,8,,Alpha Jolteon,Baron Voltali,135,,,jolteon,Jolteon,,jolteon-alpha,Electric,,,,"8,960",Field,,88.10%,11.90%,Volt Absorb,,Quick Feet,Sturdy,Flame Charge,Fire,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Eevee,9,,Flareon,Pyroli,136,,,flareon,Flareon,,flareon,Fire,,,,"8,960",Field,,88.10%,11.90%,Flash Fire,,Guts,Suction Cups,Flame Wheel,Fire,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Eevee,10,,Alpha Flareon,Baron Pyroli,136,,,flareon,Flareon,,flareon-alpha,Fire,,,,"8,960",Field,,88.10%,11.90%,Flash Fire,,Guts,Suction Cups,Flame Wheel,Fire,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Porygon,0,,Porygon,Porygon,137,,,porygon,Porygon,,porygon,Normal,,,,"5,120",Mineral,,○,○,Trace,Download,Analytic,Super Luck,Flamethrower,Fire,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Porygon,1,,Alpha Porygon,Baron Porygon,137,,,porygon,Porygon,,porygon-alpha,Normal,,,,"5,120",Mineral,,○,○,Trace,Download,Analytic,Super Luck,Flamethrower,Fire,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Omanyte,0,,Omanyte,Amonita,138,,,omanyte,Omanyte,,omanyte,Rock,,Water,,"7,680",Water 1,Water 3,88.10%,11.90%,Swift Swim,Shell Armor,Weak Armor,Surge Surfer,Flare Blitz,Fire,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Omanyte,1,40,Omastar,Amonistar,139,,,omastar,Omastar,,omastar,Rock,,Water,,"7,680",Water 1,Water 3,88.10%,11.90%,Swift Swim,Shell Armor,Weak Armor,Swarm,Flash,Normal,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Kabuto,0,,Kabuto,Kabuto,140,,,kabuto,Kabuto,,kabuto,Rock,,Water,,"7,680",Water 1,Water 3,88.10%,11.90%,Swift Swim,Battle Armor,Weak Armor,Sweet Veil,Flash Cannon,Steel,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Kabuto,1,40,Kabutops,Kabutops,141,,,kabutops,Kabutops,,kabutops,Rock,,Water,,"7,680",Water 1,Water 3,88.10%,11.90%,Swift Swim,Battle Armor,Weak Armor,Swift Swim,Flatter,Dark,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Aerodactyl,0,,Aerodactyl,Ptéra,142,,,aerodactyl,Aerodactyl,,aerodactyl,Rock,,Flying,,"7,680",Flying,,88.10%,11.90%,Rock Head,Pressure,Unnerve,Symbiosis,Fleur Cannon,Fairy,,,
No,No,6,"X, Y",,,Mega,Aerodactyl,1,,Mega Aerodactyl,Mega Ptéra,142,,,aerodactyl-mega,Aerodactyl,Yes,aerodactyl-mega,Rock,,Flying,,"7,680",Flying,,88.10%,11.90%,Tough Claws,,,Synchronize,Fling,Dark,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Snorlax,0,2 (Happiness),Snorlax,Ronflex,143,,,snorlax,Snorlax,,snorlax,Normal,,,,"10,120",Monster,,88.10%,11.90%,Immunity,Thick Fat,Gluttony,Tangled Feet,Floral Healing,Fairy,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Snorlax,1,2 (Happiness),Alpha Snorlax,Baron Ronflex,143,,,snorlax,Snorlax,,snorlax-alpha,Normal,,,,"10,120",Monster,,88.10%,11.90%,Immunity,Thick Fat,Gluttony,Tangled Feet,Floral Healing,Fairy,,,
Yes,No,8,"Sword, Shield",,,Gigantamax,Snorlax,2,,Gigantamax Snorlax,Gigamax Ronflex,143,,,snorlax-gmax,Snorlax,,snorlax-gmax,Normal,,,,"10,120",Monster,,88.10%,11.90%,Immunity,Thick Fat,Gluttony,Tangling Hair,Flower Shield,Fairy,,,
Yes,No,1,"Red, Green, Blue, Yellow",,,,Articuno,0,,Articuno,Artikodin,144,,,articuno,Articuno,,articuno,Ice,,Flying,,"20,480",Undiscovered,,○,○,Pressure,,Snow Cloak,Technician,Fly,Flying,,,
Yes,No,8,"Sword, Shield",,Galarian,,Articuno,1,,Articuno-Galar,Artikodin de Galar,144,,,articuno-galar,"Articuno
(Galarian)",,articuno-galar,Ice,,Flying,,"20,480",Undiscovered,,○,○,Pressure,,Snow Cloak,Technician,Fly,Flying,,,
Yes,No,1,"Red, Green, Blue, Yellow",,,,Zapdos,0,,Zapdos,Électhor,145,,,zapdos,Zapdos,,zapdos,Electric,,Flying,,"20,480",Undiscovered,,○,○,Pressure,,Static,Telepathy,Flying Press,Fighting,,,
